name,manufacturer,discount_rate,amount,expiration_date,lot,price
塩酸プロピベリン錠１０ｍｇ「ＳＫＫ」,三和化学,固定価格販売,30,2015年9月,,200
塩酸ミノサイクリンカプセル１００「日医工」,日医工,固定価格販売,20,2015年8月,,200
吸水軟膏「ホエイ」,マイラン製薬,40%,500,2017年3月,,606
三和黄ごん湯エキス細粒,三和生薬,50%,375,2016年2月,,"1,182"
三和桂芍知母湯エキス細粒,三和生薬,35%,42,2017年5月,,260
三和大柴胡去大黄湯エキス細粒,三和生薬,35%,648,2019年8月,,"6,993"
三和附子理中湯エキス細粒,三和生薬,50%,324,2016年2月,,"3,888"
三和麻黄附子細辛湯エキス細粒,三和生薬,70%,31.5,2015年10月,,262
酸化マグネシウム,健栄製薬,35%,964,2016年12月,,947
次硝酸ビスマス「ホエイ」,マイラン製薬,固定価格販売,25,2017年2月,,200
小児用フルナーゼ点鼻液２５μｇ５６噴霧用,ＧＳＫ,30%,3,2015年10月,,"1,619"
小児用フルナーゼ点鼻液２５μｇ５６噴霧用,ＧＳＫ,固定価格販売,4,2015年8月,,200
小児用フルナーゼ点鼻液２５μｇ５６噴霧用,ＧＳＫ,70%,1,2015年9月,,232
小児用フルナーゼ点鼻液２５μｇ５６噴霧用,ＧＳＫ,35%,2,2016年11月,,"1,002"
生理食塩液ＰＬ「フソー」,扶桑薬品,固定価格販売,5,2016年2月,,200
太虎堂のきゅう帰調血飲エキス顆粒,太虎精堂製薬,40%,168,2016年4月,,"1,180"
大塚蒸留水,大塚工場,40%,45,2016年10月,,"1,647"
大塚蒸留水,大塚工場,40%,38,2017年1月,,"3,717"
大塚蒸留水,大塚工場,固定価格販売,1,2015年8月,,200
大塚生食注,大塚工場,85%,24,2015年9月,,220
大塚生食注,大塚工場,固定価格販売,10,2015年9月,,200
大塚生食注,大塚工場,50%,50,2015年11月,,"1,525"
炭カル錠５００ｍｇ「旭化成」,旭化成ファーマ,固定価格販売,60,2015年10月,,200
炭カル錠５００ｍｇ「旭化成」,旭化成ファーマ,固定価格販売,94,2015年10月,,200
炭カル錠５００ｍｇ「旭化成」,旭化成ファーマ,固定価格販売,26,2016年5月,,200
炭酸リチウム錠２００ｍｇ「アメル」,共和薬工,40%,44,2016年9月,,241
日点アトロピン点眼液１％,日本点眼薬研究所,40%,8,2016年4月,,699
本草小青龍湯エキス顆粒－Ｍ,本草製薬,35%,105,2017年6月,,492
硫酸キニジン錠１００ｍｇ「マイラン」,マイラン製薬,50%,100,2016年5月,,585
ツムラ甘麦大棗湯エキス顆粒（医療用）,ツムラ,固定価格販売,35,2016年8月,,200
ＡＴＰ腸溶錠２０ｍｇ「日医工」,日医工,40%,229,2016年4月,,743
ＦＡＤ錠１０ｍｇ「ＴＹＫ」,大正薬工,50%,74,2016年4月,,208
ＧＳプラスターＨ１４０,祐徳薬品,50%,60,2016年9月,,495
ＧＳプラスターＨ７０,祐徳薬品,35%,50,2018年1月,,342
ＪＰＳ桂枝茯苓丸料エキス顆粒〔調剤用〕,ＪＰＳ,50%,90,2016年6月,,324
ＪＰＳ桂枝茯苓丸料エキス顆粒〔調剤用〕,ＪＰＳ,35%,150,2017年10月,,702
ＪＰＳ十味敗毒湯エキス顆粒〔調剤用〕,ＪＰＳ,固定価格販売,15,2016年6月,,200
ＪＰＳ小青竜湯エキス顆粒〔調剤用〕,ＪＰＳ,40%,75,2016年11月,,554
ＪＰＳ麦門冬湯エキス顆粒〔調剤用〕,ＪＰＳ,固定価格販売,15,2017年1月,,200
ＪＰＳ麦門冬湯エキス顆粒〔調剤用〕,ＪＰＳ,固定価格販売,15,2016年11月,,200
ＪＰＳ半夏瀉心湯エキス顆粒〔調剤用〕,ＪＰＳ,40%,75,2016年11月,,846
Ｌ－ケフレックス顆粒,塩野義,40%,94,2016年2月,,"4,479"
ＭＤＳコーワ錠１５０,興和,固定価格販売,50,2016年6月,,200
ＭＤＳコーワ錠３００,興和,50%,90,2016年1月,,419
ＭＤＳコーワ錠３００,興和,35%,70,2017年1月,,424
ＭＤＳコーワ錠３００,興和,35%,300,2017年1月,,"1,814"
ＭＳ冷シップ「タカミツ」,タカミツ,固定価格販売,500,2015年9月,,200
ＮＥソフトカプセル２００ｍｇ,東洋カプセル,固定価格販売,30,2016年11月,,200
Ｓ・アドクノン錠３０,アルフレッサ　ファーマ,35%,86,2017年10月,,615
Ｓ・アドクノン錠３０,田辺三菱製薬,固定価格販売,16,2016年8月,,200
